Month,2nd (2.3rd),5th,10th,25th,50th,75th,90th,95th,98th (97.7th)
0,31.5099,31.9305,32.3608,33.0798,33.8787,34.6776,35.3966,35.8269,36.2475
1,34.2000,34.6167,35.0429,35.7550,36.5463,37.3376,38.0497,38.4759,38.8926
2,35.8285,36.2588,36.6991,37.4347,38.2521,39.0695,39.8051,40.2454,40.6758
3,37.0501,37.4910,37.9420,38.6955,39.5328,40.3701,41.1236,41.5746,42.0155
4,38.0502,38.4997,38.9596,39.7280,40.5817,41.4354,42.2038,42.6637,43.1132
5,38.8869,39.3436,39.8109,40.5916,41.4590,42.3264,43.1072,43.5744,44.0311
6,39.5941,40.0568,40.5300,41.3208,42.1995,43.0782,43.8690,44.3423,44.8049
7,40.1950,40.6627,41.1412,41.9407,42.8290,43.7173,44.5168,44.9953,45.4630
8,40.7104,41.1822,41.6648,42.4712,43.3671,44.2631,45.0694,45.5520,46.0238
9,41.1537,41.6290,42.1151,42.9275,43.8300,44.7326,45.5449,46.0310,46.5063
10,41.5391,42.0172,42.5064,43.3238,44.2319,45.1401,45.9574,46.4466,46.9247
11,41.8781,42.3587,42.8503,43.6717,44.5844,45.4971,46.3185,46.8101,47.2907
12,42.1785,42.6611,43.1549,43.9799,44.8965,45.8131,46.6382,47.1319,47.6145
13,42.4475,42.9319,43.4274,44.2553,45.1752,46.0951,46.9230,47.4185,47.9029
14,42.6900,43.1759,43.6730,44.5036,45.4265,46.3494,47.1800,47.6771,48.1630
15,42.9103,43.3977,43.8963,44.7294,45.6551,46.5808,47.4139,47.9125,48.3999
16,43.1140,43.6025,44.1022,44.9373,45.8650,46.7928,47.6278,48.1275,48.6160
17,43.3027,43.7923,44.2931,45.1300,46.0598,46.9896,47.8265,48.3274,48.8169
18,43.4799,43.9704,44.4722,45.3108,46.2424,47.1741,48.0126,48.5144,49.0049
19,43.6470,44.1386,44.6414,45.4816,46.4152,47.3488,48.1890,48.6918,49.1834
20,43.8067,44.2992,44.8030,45.6448,46.5801,47.5154,48.3572,48.8610,49.3535
21,43.9603,44.4536,44.9582,45.8015,46.7384,47.6753,48.5186,49.0232,49.5165
22,44.1088,44.6029,45.1083,45.9529,46.8913,47.8297,48.6743,49.1797,49.6738
23,44.2525,44.7473,45.2535,46.0993,47.0391,47.9789,48.8247,49.3309,49.8257
24,44.3918,44.8873,45.3942,46.2412,47.1822,48.1232,48.9702,49.4771,49.9726
